key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.135395,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,72,1,0,0,response1disk,5,5,2,1,0,0,rectangle,5,2,1,0,0,,1,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",5,2,1,0,0,0,9,8,8,82,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.085305,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,74,1,0,0,response1disk,7,-1,6,1,0,0,rectangle,-1,6,1,0,0,,5,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-1,6,1,0,0,0,10,9,9,63,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,1.153305,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-53,91,1,0,0,response7disk,5,6,-3,1,0,0,rectangle,6,-3,1,0,0,,2,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",6,-3,1,0,0,0,11,10,10,94,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,1.139645,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-39,90,1,0,0,response7disk,1,-1,4,1,0,0,rectangle,-1,4,1,0,0,,4,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-1,4,1,0,0,0,12,11,11,76,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,1.117595,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-27,71,1,0,0,response7disk,3,0,7,1,0,0,rectangle,0,7,1,0,0,,6,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",0,7,1,0,0,0,13,12,12,4,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.699335,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,88,1,0,0,response1disk,2,-2,0,1,0,0,rectangle,66,37,1,0,0,6,6,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",9,-1,1,0,0,0,14,13,13,157,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.15646,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,87,1,0,0,response1disk,9,-3,0,1,0,0,rectangle,-3,0,1,0,0,6,4,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-3,0,1,0,0,0,15,14,14,45,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,2.067615,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,82,-31,1,0,0,response3disk,5,-8,8,1,0,0,rectangle,-8,8,1,0,0,6,0,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",-8,8,1,0,0,0,16,15,15,156,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,2.76187,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,92,-34,1,0,0,response3disk,9,8,2,1,0,0,rectangle,8,2,1,0,0,6,1,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",8,2,1,0,0,0,17,16,16,15,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f514e2a5552dd37bc2060f3,5fb5d986fb12541d19833626,2020-11-19_02h34.00.585,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.484255,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,95,1,0,0,response1disk,3,11,3,1,0,0,rectangle,11,3,1,0,0,6,3,"[61,91,176,68,219,233,89,169,14,258,127,84,152,289,94,136,99,154,287,282]",11,3,1,0,0,0,18,17,17,71,1,,,,,,,,,,,,,,,,,,,,,
